region,date,time,satellite,tif_name,latitude,longitude,manual_tent_count,model_tent_count
al_mawasi_khan_yunis,2024-10-14,12:07:09,ssc10,al_mawasi_khan_yunis_20241014_120709_ssc10_u0001_visual_clip.tif,31.364990636329104,34.27207489770871,52,39
al_mawasi_khan_yunis,2024-10-14,12:07:09,ssc10,al_mawasi_khan_yunis_20241014_120709_ssc10_u0001_visual_clip.tif,31.400867498803603,34.320778717050864,38,30
al_mawasi_khan_yunis,2024-10-14,12:07:09,ssc10,al_mawasi_khan_yunis_20241014_120709_ssc10_u0001_visual_clip.tif,31.297717207465137,34.26392778521685,0,0
al_mawasi_khan_yunis,2024-10-14,12:07:09,ssc10,al_mawasi_khan_yunis_20241014_120709_ssc10_u0001_visual_clip.tif,31.3682882989917,34.27636704726248,15,18
al_mawasi_khan_yunis,2024-10-14,12:07:09,ssc10,al_mawasi_khan_yunis_20241014_120709_ssc10_u0001_visual_clip.tif,31.344802254205288,34.266052399667835,17,17
al_mawasi_khan_yunis,2024-10-14,12:07:09,ssc10,al_mawasi_khan_yunis_20241014_120709_ssc10_u0001_visual_clip.tif,31.385278448788505,34.340547942923486,0,1
al_mawasi_khan_yunis,2024-10-14,12:07:09,ssc10,al_mawasi_khan_yunis_20241014_120709_ssc10_u0001_visual_clip.tif,31.36331066050626,34.35230997926314,1,1
al_mawasi_khan_yunis,2024-10-14,12:07:09,ssc10,al_mawasi_khan_yunis_20241014_120709_ssc10_u0001_visual_clip.tif,31.37971927681927,34.338875689046226,0,0
al_mawasi_khan_yunis,2024-10-14,12:07:09,ssc10,al_mawasi_khan_yunis_20241014_120709_ssc10_u0001_visual_clip.tif,31.35318701855798,34.277016632857574,81,59
al_mawasi_khan_yunis,2024-10-14,12:07:09,ssc10,al_mawasi_khan_yunis_20241014_120709_ssc10_u0001_visual_clip.tif,31.328813234745425,34.30934385455182,0,3
al_mawasi_khan_yunis,2024-10-14,12:07:09,ssc10,al_mawasi_khan_yunis_20241014_120709_ssc10_u0001_visual_clip.tif,31.3504067872943,34.28902967047813,0,5
al_mawasi_khan_yunis,2024-10-14,12:07:09,ssc10,al_mawasi_khan_yunis_20241014_120709_ssc10_u0001_visual_clip.tif,31.33398107379834,34.317994128802994,0,2
al_mawasi_khan_yunis,2024-10-14,12:07:09,ssc10,al_mawasi_khan_yunis_20241014_120709_ssc10_u0001_visual_clip.tif,31.37976770941848,34.30411238937272,31,31
al_mawasi_khan_yunis,2024-10-14,12:07:09,ssc10,al_mawasi_khan_yunis_20241014_120709_ssc10_u0001_visual_clip.tif,31.402340567432127,34.34248022593221,0,0
al_mawasi_khan_yunis,2024-10-14,12:07:09,ssc10,al_mawasi_khan_yunis_20241014_120709_ssc10_u0001_visual_clip.tif,31.3438212956877,34.2647021059499,56,28
